nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
500,"ACTON TOWN",519478,179592,"District, Piccadilly","London Underground",Yes,,,,3,-0.280000,51.500000
501,BARBICAN,532004,181856,"Circle, Hammersmith & City, Metropolitan","London Underground",Yes,,,,1,-0.100000,51.520000
502,ALDGATE,533613,181262,"Circle, Metropolitan","London Underground",Yes,,,,1,-0.070000,51.510000
503,"ALDGATE EAST",533936,181375,"District, Hammersmith & City","London Underground",Yes,,,,1,-0.070000,51.510000
504,"STRATFORD INTERNATIONAL DLR",538128,184761,DLR,,,,,Yes,"2,3",-0.010000,51.540000
505,ALPERTON,517996,183795,Piccadilly,"London Underground",Yes,,,,4,-0.300000,51.540000
506,AMERSHAM,496372,198181,Metropolitan,"London Underground",Yes,,,,9,-0.610000,51.670000
507,ANGEL,531561,183100,Northern,"London Underground",Yes,,,,1,-0.100000,51.530000
508,ARCHWAY,529364,186721,Northern,"London Underground",Yes,,,,"2,3",-0.130000,51.560000
509,"ARNOS GROVE",529355,192498,Piccadilly,"London Underground",Yes,,,,4,-0.130000,51.620000
510,ARSENAL,531305,186112,Piccadilly,"London Underground",Yes,,,,2,-0.110000,51.560000
511,"BAKER STREET",527955,182064,"Bakerloo, Circle, Jubilee, Hammersmith & City, Metropolitan","London Underground",Yes,,,,1,-0.160000,51.520000
512,"BALHAM LU",528480,173244,Northern,"London Underground",Yes,,,,3,-0.150000,51.440000
513,"BANK AND MONUMENT",532710,181120,"Central, Circle, District, DLR, Northern, Waterloo & City","London Underground",Yes,,,Yes,1,-0.090000,51.510000
514,BARKING,544359,184382,"District, Hammersmith & City, London Overground","London Underground",Yes,,Yes,,4,0.080000,51.540000
515,BARKINGSIDE,544799,189494,Central,"London Underground",Yes,,,,4,0.090000,51.590000
516,"BARONS COURT",524046,178328,"District, Piccadilly","London Underground",Yes,,,,2,-0.210000,51.490000
517,BAYSWATER,525843,180823,"Circle, District","London Underground",Yes,,,,1,-0.190000,51.510000
518,BECONTREE,547628,184527,District,"London Underground",Yes,,,,5,0.130000,51.540000
519,"BELSIZE PARK",527354,185089,Northern,"London Underground",Yes,,,,2,-0.160000,51.550000
520,"BETHNAL GREEN LU",535044,182718,Central,"London Underground",Yes,,,,2,-0.050000,51.530000
521,"BLACKFRIARS LU",531694,180893,"Circle, District","London Underground",Yes,,,,1,-0.100000,51.510000
522,"BLACKHORSE ROAD",535761,189370,"London Overground, Victoria","London Underground",Yes,,Yes,,3,-0.040000,51.590000
523,"KING GEORGE V",543237,180137,DLR,,,,,Yes,3,0.060000,51.500000
524,"BOND STREET",528491,181118,"Central, Jubilee, TfL Rail","London Underground",Yes,Yes,,,1,-0.150000,51.510000
525,BOROUGH,532440,179751,Northern,"London Underground",Yes,,,,1,-0.090000,51.500000
526,"BOSTON MANOR",516334,178693,Piccadilly,"London Underground",Yes,,,,4,-0.320000,51.490000
527,"BOUNDS GREEN",529984,191469,Piccadilly,"London Underground",Yes,,,,"3,4",-0.120000,51.610000
528,"BOW ROAD",537090,182736,"District, Hammersmith & City","London Underground",Yes,,,,2,-0.020000,51.530000
529,"BRENT CROSS",523874,187934,Northern,"London Underground",Yes,,,,3,-0.210000,51.580000
530,BROMLEY-BY-BOW,538050,182524,"District, Hammersmith & City","London Underground",Yes,,,,"2,3",-0.010000,51.520000
531,"BUCKHURST HILL",541778,193891,Central,"London Underground",Yes,,,,5,0.050000,51.630000
532,"BURNT OAK",520326,190760,Northern,"London Underground",Yes,,,,4,-0.260000,51.600000
533,"LONDON CITY AIRPORT",542250,180292,DLR,,,,,Yes,3,0.050000,51.500000
534,"CALEDONIAN ROAD",530558,184970,Piccadilly,"London Underground",Yes,,,,2,-0.120000,51.550000
535,"CAMDEN TOWN",528910,183894,Northern,"London Underground",Yes,,,,2,-0.140000,51.540000
